GeoCurve,ArcCurve,separation,height,curvature
GeoCurve_Sphere_Sep1_Ht1.jpg,ArcCurve_Sphere_Sep1_Ht1.jpg,1,1,0.0455
GeoCurve_Sphere_Sep2_Ht1.jpg,ArcCurve_Sphere_Sep2_Ht1.jpg,2,1,0.1071
GeoCurve_Sphere_Sep3_Ht1.jpg,ArcCurve_Sphere_Sep3_Ht1.jpg,3,1,0.2041
GeoCurve_Sphere_Sep4_Ht1.jpg,ArcCurve_Sphere_Sep4_Ht1.jpg,4,1,0.3515
GeoCurve_Sphere_Sep5_Ht1.jpg,ArcCurve_Sphere_Sep5_Ht1.jpg,5,1,0.5798
GeoCurve_Sphere_Sep1_Ht2.jpg,ArcCurve_Sphere_Sep1_Ht2.jpg,1,2,0.0316
GeoCurve_Sphere_Sep2_Ht2.jpg,ArcCurve_Sphere_Sep2_Ht2.jpg,2,2,0.0743
GeoCurve_Sphere_Sep3_Ht2.jpg,ArcCurve_Sphere_Sep3_Ht2.jpg,3,2,0.1411
GeoCurve_Sphere_Sep4_Ht2.jpg,ArcCurve_Sphere_Sep4_Ht2.jpg,4,2,0.2421
GeoCurve_Sphere_Sep5_Ht2.jpg,ArcCurve_Sphere_Sep5_Ht2.jpg,5,2,0.3965
GeoCurve_Sphere_Sep1_Ht3.jpg,ArcCurve_Sphere_Sep1_Ht3.jpg,1,3,0.0316
GeoCurve_Sphere_Sep2_Ht3.jpg,ArcCurve_Sphere_Sep2_Ht3.jpg,2,3,0.0743
GeoCurve_Sphere_Sep3_Ht3.jpg,ArcCurve_Sphere_Sep3_Ht3.jpg,3,3,0.1411
GeoCurve_Sphere_Sep4_Ht3.jpg,ArcCurve_Sphere_Sep4_Ht3.jpg,4,3,0.2421
GeoCurve_Sphere_Sep5_Ht3.jpg,ArcCurve_Sphere_Sep5_Ht3.jpg,5,3,0.3965
GeoCurve_Sphere_Sep1_Ht4.jpg,ArcCurve_Sphere_Sep1_Ht4.jpg,1,4,0.0455
GeoCurve_Sphere_Sep2_Ht4.jpg,ArcCurve_Sphere_Sep2_Ht4.jpg,2,4,0.1071
GeoCurve_Sphere_Sep3_Ht4.jpg,ArcCurve_Sphere_Sep3_Ht4.jpg,3,4,0.2041
GeoCurve_Sphere_Sep4_Ht4.jpg,ArcCurve_Sphere_Sep4_Ht4.jpg,4,4,0.3515
GeoCurve_Sphere_Sep5_Ht4.jpg,ArcCurve_Sphere_Sep5_Ht4.jpg,5,4,0.5798
